Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.17-185.125.190.48-40632-80-6,192.168.1.17,40632,185.125.190.48,80,6,19/11/2024 03:39:11 AM,500592,3,3,87.0,189.0,87.0,0.0,29.0,50.22947341949744,189.0,0.0,63.0,109.11920087683927,551.3472049093873,11.985808802377983,100118.4,136472.838923355,250501.0,84.0,250976.0,125488.0,176913.87401218707,250585.0,391.0,250091.0,125045.5,174914.8831417727,248729.0,1362.0,0,0,0,0,80,64,5.992904401188992,5.992904401188992,0.0,189.0,39.42857142857142,73.49343994048526,5401.285714285714,1,2,0,2,5,0,0,0,1.0,46.0,29.0,63.0,0,0,0,0,0,0,0,0,0,0,64240,64240,1,20,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-38958-80-6,192.168.1.4,38958,192.168.1.17,80,6,19/11/2024 03:39:43 AM,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,14705.882352941177,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-38960-80-6,192.168.1.4,38960,192.168.1.17,80,6,19/11/2024 03:39:43 AM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-38978-80-6,192.168.1.4,38978,192.168.1.17,80,6,19/11/2024 03:39:43 AM,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-38986-80-6,192.168.1.4,38986,192.168.1.17,80,6,19/11/2024 03:39:43 AM,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-39002-80-6,192.168.1.4,39002,192.168.1.17,80,6,19/11/2024 03:39:43 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-39010-80-6,192.168.1.4,39010,192.168.1.17,80,6,19/11/2024 03:39:43 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-39020-80-6,192.168.1.4,39020,192.168.1.17,80,6,19/11/2024 03:39:43 AM,43,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395348837,23255.81395348837,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-39024-80-6,192.168.1.4,39024,192.168.1.17,80,6,19/11/2024 03:39:43 AM,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,22222.222222222223,22222.222222222223,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
192.168.1.4-192.168.1.17-39026-80-6,192.168.1.4,39026,192.168.1.17,80,6,19/11/2024 03:39:43 AM,82,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24390.243902439022,82.0,0.0,82.0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,12195.121951219511,12195.121951219511,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32120,0,0,40,0,0,0,0,0,0,0,0,probability(DoS Attack)
