2024-10-30 00:03:40 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 65 flow
2024-10-30 00:08:47 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 69 flow
2024-10-30 00:13:55 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 74 flow
2024-10-30 00:19:02 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 78 flow
2024-10-30 00:21:49 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    Pcap stop listening
2024-10-30 00:21:49 INFO  cic.cs.unb.ca.flow.ui.FlowMonitorPane    path:/home/minhhuy/Downloads/CICFlowMeter-classifier-20241029T051353Z-001/CICFlowMeter-classifier/data/daily/2024-10-30_Flow.csv
2024-10-30 07:57:46 INFO  cic.cs.unb.ca.jnetpcap.worker.TrafficFlowWorker    Pcap is listening...
2024-10-30 07:59:17 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-30 07:59:17 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-30 07:59:17 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-30 07:59:17 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 8 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 7 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 8 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 8 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 9 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 9 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 9 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 12 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 11 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 10 flow
2024-10-30 07:59:17 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 9 flow
